 x,  y,  w,  h, callback, args
 4,  1,  2,  1,        0,3
 1,  1,  1,  1,        0,4|5|126
 4,  3,  2,  1,        0,254|13
 4,  4,  2,  1,        0,
 4,  5,  2,  1,        0,
 4,  6,  2,  1,        0,
 4,  7,  2,  1,        0,
 4,  8,  2,  1,        0,
 4,  9,  2,  1,        0,
 4, 10,  2,  1,        0,
 4, 11,  2,  1,        0,0
 4, 12,  2,  1,        0,1
 4, 13,  2,  1,        0,
 4, 14,  2,  1,        0,
 4, 15,  2,  1,        0,
 4, 16,  2,  1,        0,
 4, 17,  2,  1,        0,
 4, 18,  2,  1,        0,
 8,  1,  2,  1,        0,
 8,  3,  2,  1,        0,
 8,  4,  2,  1,        0,
 8,  5,  2,  1,        0,
 8,  6,  2,  1,        0,
 8,  7,  2,  1,        0,
 8,  8,  2,  1,        0,
 8,  9,  2,  1,        0,
 8, 10,  2,  1,        0,
 8, 11,  2,  1,        0,
 8, 12,  2,  1,        0,
 8, 13,  2,  1,        0,
 8, 14,  2,  1,        0,
 8, 15,  2,  1,        0,
 8, 16,  2,  1,        0,
 8, 17,  2,  1,        0,
 8, 18,  2,  1,        0,
12,  1,  2,  1,        0,
12,  3,  2,  1,        0,
12,  4,  2,  1,        0,
12,  5,  2,  1,        0,
12,  6,  2,  1,        0,
12,  7,  2,  1,        0,
12,  8,  2,  1,        0,
12,  9,  2,  1,        0,
12, 10,  2,  1,        0,
12, 11,  2,  1,        0,
12, 12,  2,  1,        0,
12, 13,  2,  1,        0,
12, 14,  2,  1,        0,
12, 15,  2,  1,        0,
12, 16,  2,  1,        0,
12, 17,  2,  1,        0,
12, 18,  2,  1,        0,
16,  1,  2,  1,        0,
16,  3,  2,  1,        0,
16,  4,  2,  1,        0,
16,  5,  2,  1,        0,
16,  6,  2,  1,        0,
16,  7,  2,  1,        0,
16,  8,  2,  1,        0,
16,  9,  2,  1,        0,
16, 10,  2,  1,        0,
16, 11,  2,  1,        0,
16, 12,  2,  1,        0,
16, 13,  2,  1,        0,
16, 14,  2,  1,        0,
16, 15,  2,  1,        0,
16, 16,  2,  1,        0,
16, 17,  2,  1,        0,
16, 18,  2,  1,        0,
20,  1,  2,  1,        0,
20,  3,  2,  1,        0,
20,  4,  2,  1,        0,
20,  5,  2,  1,        0,
20,  6,  2,  1,        0,
20,  7,  2,  1,        0,
20,  8,  2,  1,        0,
20,  9,  2,  1,        0,
20, 10,  2,  1,        0,
20, 11,  2,  1,        0,
20, 12,  2,  1,        0,
20, 13,  2,  1,        0,
20, 14,  2,  1,        0,
20, 15,  2,  1,        0,
20, 16,  2,  1,        0,
20, 17,  2,  1,        0,
20, 18,  2,  1,        0,
24,  1,  2,  1,        0,
24,  3,  2,  1,        0,
24,  4,  2,  1,        0,
24,  5,  2,  1,        0,
24,  6,  2,  1,        0,
24,  7,  2,  1,        0,
24,  8,  2,  1,        0,
24,  9,  2,  1,        0,
24, 10,  2,  1,        0,
24, 11,  2,  1,        0,
24, 12,  2,  1,        0,
24, 13,  2,  1,        0,
24, 14,  2,  1,        0,
24, 15,  2,  1,        0,
24, 16,  2,  1,        0,
24, 17,  2,  1,        0,
24, 18,  2,  1,        0,